time,total_length,FPS,behavior,behavioral_category,status,participantID,block
44.877,104.620,19.03,l_base,Base,STOP,12,3
44.929,104.620,19.03,l_4r_3,4Red,POINT,12,3
45.139,104.620,19.03,l_3_os,3Orange,POINT,12,3
45.297,104.620,19.03,u_3_os,3Orange,START,12,3
45.665,104.620,19.03,l_base,Base,START,12,3
52.654,104.620,19.03,Acc,Accidents,START,12,3
53.810,104.620,19.03,u_3_os,3Orange,STOP,12,3
53.862,104.620,19.03,l_base,Base,STOP,12,3
54.020,104.620,19.03,l_conf,Configuration,POINT,12,3
54.020,104.620,19.03,u_conf,Configuration,START,12,3
56.595,104.620,19.03,l_4r_3,4Red,POINT,12,3
56.805,104.620,19.03,l_base,Base,START,12,3
58.592,104.620,19.03,Acc,Accidents,STOP,12,3
58.592,104.620,19.03,BC,BrickClick,POINT,12,3
58.592,104.620,19.03,u_conf,Configuration,STOP,12,3
58.749,104.620,19.03,l_base,Base,STOP,12,3
58.960,104.620,19.03,l_3_os,3Orange,POINT,12,3
59.222,104.620,19.03,u_3_os,3Orange,START,12,3
59.327,104.620,19.03,l_base,Base,START,12,3
62.428,104.620,19.03,BC,BrickClick,POINT,12,3
62.638,104.620,19.03,l_4r_3,4Red,POINT,12,3
62.638,104.620,19.03,l_base,Base,STOP,12,3
62.690,104.620,19.03,u_3_os,3Orange,STOP,12,3
63.374,104.620,19.03,u_4r_3,4Red,START,12,3
63.479,104.620,19.03,l_4yr_4,4YellowRound,POINT,12,3
64.057,104.620,19.03,l_base,Base,START,12,3
64.950,104.620,19.03,BC,BrickClick,POINT,12,3
65.055,104.620,19.03,u_4r_3,4Red,STOP,12,3
65.108,104.620,19.03,l_base,Base,STOP,12,3
65.160,104.620,19.03,l_4yr_4,4YellowRound,POINT,12,3
65.476,104.620,19.03,u_4yr_4,4YellowRound,START,12,3
66.054,104.620,19.03,l_base,Base,START,12,3
69.259,104.620,19.03,BC,BrickClick,POINT,12,3
69.312,104.620,19.03,u_4yr_4,4YellowRound,STOP,12,3
69.417,104.620,19.03,Acc,Accidents,START,12,3
69.417,104.620,19.03,u_conf,Configuration,START,12,3
69.469,104.620,19.03,l_conf,Configuration,POINT,12,3
74.934,104.620,19.03,BC,BrickClick,POINT,12,3
79.138,104.620,19.03,BC,BrickClick,POINT,12,3
79.296,104.620,19.03,Acc,Accidents,STOP,12,3
79.296,104.620,19.03,u_conf,Configuration,STOP,12,3
79.453,104.620,19.03,l_4yr_4,4YellowRound,POINT,12,3
79.926,104.620,19.03,u_4yr_4,4YellowRound,START,12,3
80.137,104.620,19.03,l_base,Base,STOP,12,3
85.234,104.620,19.03,BC,BrickClick,POINT,12,3
85.234,104.620,19.03,u_4yr_4,4YellowRound,STOP,12,3
85.812,104.620,19.03,u_4r_4,4Red,START,12,3
85.917,104.620,19.03,l_base,Base,START,12,3
87.966,104.620,19.03,l_base,Base,STOP,12,3
88.019,104.620,19.03,l_4yr_1,4YellowRound,POINT,12,3
88.124,104.620,19.03,BC,BrickClick,POINT,12,3
88.124,104.620,19.03,u_4r_4,4Red,STOP,12,3
88.912,104.620,19.03,u_4yr_1,4YellowRound,START,12,3
89.280,104.620,19.03,l_base,Base,START,12,3
92.380,104.620,19.03,u_base,Base,STOP,12,3
92.591,104.620,19.03,l_base,Base,STOP,12,3
93.326,104.620,19.03,BC,BrickClick,POINT,12,3
93.326,104.620,19.03,u_4r_1,4Red,STOP,12,3
93.326,104.620,19.03,u_4yr_1,4YellowRound,STOP,12,3
93.852,104.620,19.03,u_conf,Configuration,START,12,3
94.325,104.620,19.03,u_base,Base,START,12,3
94.377,104.620,19.03,l_base,Base,START,12,3
98.844,104.620,19.03,BC,BrickClick,POINT,12,3
98.949,104.620,19.03,u_conf,Configuration,STOP,12,3
99.790,104.620,19.03,u_base,Base,STOP,12,3
99.895,104.620,19.03,l_base,Base,STOP,12,3
1.628,164.090,19.65,l_3_ob,3Orange,POINT,16,1
2.188,164.090,19.65,l_4r_1,4Red,POINT,16,1
2.748,164.090,19.65,l_3_om,3Orange,POINT,16,1
3.206,164.090,19.65,l_1t,1transparent,POINT,16,1
3.613,164.090,19.65,l_4yr_1,4YellowRound,POINT,16,1
4.326,164.090,19.65,l_4yr_2,4YellowRound,POINT,16,1
5.089,164.090,19.65,l_3_ob,3Orange,POINT,16,1
6.565,164.090,19.65,l_3_om,3Orange,POINT,16,1
6.768,164.090,19.65,l_1t,1transparent,POINT,16,1
8.295,164.090,19.65,l_2dr_1,2DarkRed,POINT,16,1
9.364,164.090,19.65,l_4r_2,4Red,POINT,16,1
9.364,164.090,19.65,l_4r_3,4Red,POINT,16,1
10.127,164.090,19.65,l_3_ob,3Orange,POINT,16,1
11.349,164.090,19.65,l_2dr_2,2DarkRed,POINT,16,1
12.570,164.090,19.65,l_3_ob,3Orange,POINT,16,1
12.977,164.090,19.65,u_2dr_2,2DarkRed,START,16,1
16.285,164.090,19.65,l_1t,1transparent,POINT,16,1
16.641,164.090,19.65,l_3_om,3Orange,POINT,16,1
16.743,164.090,19.65,u_3_ob,3Orange,START,16,1
17.099,164.090,19.65,u_2dr_2,2DarkRed,STOP,16,1
17.812,164.090,19.65,u_3_ob,3Orange,STOP,16,1
17.812,164.090,19.65,u_3_om,3Orange,START,16,1
18.117,164.090,19.65,l_3_os,3Orange,POINT,16,1
18.422,164.090,19.65,u_3_os,3Orange,START,16,1
19.033,164.090,19.65,l_3_ob,3Orange,POINT,16,1
19.033,164.090,19.65,u_3_os,3Orange,STOP,16,1
20.305,164.090,19.65,BC,BrickClick,POINT,16,1
20.814,164.090,19.65,u_3_om,3Orange,STOP,16,1
20.916,164.090,19.65,l_conf,Configuration,POINT,16,1
20.916,164.090,19.65,u_conf,Configuration,START,16,1
21.781,164.090,19.65,l_4yr_1,4YellowRound,POINT,16,1
22.290,164.090,19.65,u_conf,Configuration,STOP,16,1
22.494,164.090,19.65,l_3_os,3Orange,POINT,16,1
22.697,164.090,19.65,l_4r_2,4Red,POINT,16,1
22.697,164.090,19.65,l_4r_3,4Red,POINT,16,1
23.410,164.090,19.65,l_2dr_1,2DarkRed,POINT,16,1
24.122,164.090,19.65,u_3_os,3Orange,START,16,1
24.275,164.090,19.65,l_conf,Configuration,POINT,16,1
24.631,164.090,19.65,l_2dr_1,2DarkRed,POINT,16,1
24.784,164.090,19.65,l_1t,1transparent,POINT,16,1
25.242,164.090,19.65,l_4yr_1,4YellowRound,POINT,16,1
25.496,164.090,19.65,l_2dr_1,2DarkRed,POINT,16,1
26.361,164.090,19.65,u_conf,Configuration,START,16,1
